TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 1
Start Date:,06/13/2022
Start Time:,09:04:06
Duration (dd:hh:mm:ss):,00:00:14:57
Log Interval (mm:ss):,00:01
Number of points:,897
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.044
,Time of Minimum:,09:12:01
,Date of Minimum:,06/13/2022
,Maximum:,0.104
,Time of Maximum:,09:17:17
,Date of Maximum:,06/13/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
06/13/2022,09:12:54,0.050
06/13/2022,09:12:55,0.056
06/13/2022,09:12:56,0.050
06/13/2022,09:12:57,0.046
06/13/2022,09:12:58,0.065
06/13/2022,09:12:59,0.051
06/13/2022,09:13:00,0.062
06/13/2022,09:13:01,0.057
06/13/2022,09:13:02,0.056
06/13/2022,09:13:03,0.054
06/13/2022,09:13:04,0.055
06/13/2022,09:13:05,0.077
06/13/2022,09:13:06,0.068
06/13/2022,09:13:07,0.071
06/13/2022,09:13:08,0.059
06/13/2022,09:13:09,0.056
06/13/2022,09:13:10,0.049
06/13/2022,09:13:11,0.056
06/13/2022,09:13:12,0.050
06/13/2022,09:13:13,0.054
06/13/2022,09:13:14,0.048
06/13/2022,09:13:15,0.052
06/13/2022,09:13:16,0.057
06/13/2022,09:13:17,0.047
06/13/2022,09:13:18,0.057
06/13/2022,09:13:19,0.051
06/13/2022,09:13:20,0.056
06/13/2022,09:13:21,0.054
06/13/2022,09:13:22,0.062
06/13/2022,09:13:23,0.054
06/13/2022,09:13:24,0.052
06/13/2022,09:13:25,0.056
06/13/2022,09:13:26,0.058
06/13/2022,09:13:27,0.058
06/13/2022,09:13:28,0.054
06/13/2022,09:13:29,0.056
06/13/2022,09:13:30,0.060
06/13/2022,09:13:31,0.056
06/13/2022,09:13:32,0.057
06/13/2022,09:13:33,0.058
06/13/2022,09:13:34,0.055
06/13/2022,09:13:35,0.053
06/13/2022,09:13:36,0.060
06/13/2022,09:13:37,0.060
06/13/2022,09:13:38,0.057
06/13/2022,09:13:39,0.051
06/13/2022,09:13:40,0.057
06/13/2022,09:13:41,0.052
06/13/2022,09:13:42,0.068
06/13/2022,09:13:43,0.063
06/13/2022,09:13:44,0.048
06/13/2022,09:13:45,0.048
06/13/2022,09:13:46,0.053
